GEO_ID,NAME,S1701_C01_001E
30001,"Beaverhead County, Montana",8943
30003,"Big Horn County, Montana",13206
30005,"Blaine County, Montana",6603
30007,"Broadwater County, Montana",5897
30009,"Carbon County, Montana",10483
30011,"Carter County, Montana",1307
30013,"Cascade County, Montana",79394
30015,"Chouteau County, Montana",5688
30017,"Custer County, Montana",11337
30019,"Daniels County, Montana",1706
30021,"Dawson County, Montana",8496
30023,"Deer Lodge County, Montana",8528
30025,"Fallon County, Montana",2825
30027,"Fergus County, Montana",10986
30029,"Flathead County, Montana",98998
30031,"Gallatin County, Montana",104238
30033,"Garfield County, Montana",1036
30035,"Glacier County, Montana",13395
30037,"Golden Valley County, Montana",728
30039,"Granite County, Montana",3243
30041,"Hill County, Montana",15945
30043,"Jefferson County, Montana",11747
30045,"Judith Basin County, Montana",1954
30047,"Lake County, Montana",29520
30049,"Lewis and Clark County, Montana",66165
30051,"Liberty County, Montana",2330
30053,"Lincoln County, Montana",19351
30055,"McCone County, Montana",1745
30057,"Madison County, Montana",8207
30059,"Meagher County, Montana",1864
30061,"Mineral County, Montana",4175
30063,"Missoula County, Montana",114330
30065,"Musselshell County, Montana",4708
30067,"Park County, Montana",16196
30069,"Petroleum County, Montana",439
30071,"Phillips County, Montana",4021
30073,"Pondera County, Montana",5862
30075,"Powder River County, Montana",1567
30077,"Powell County, Montana",5218
30079,"Prairie County, Montana",1226
30081,"Ravalli County, Montana",42122
30083,"Richland County, Montana",11145
30085,"Roosevelt County, Montana",10847
30087,"Rosebud County, Montana",9024
30089,"Sanders County, Montana",11522
30091,"Sheridan County, Montana",3436
30093,"Silver Bow County, Montana",33852
30095,"Stillwater County, Montana",9422
30097,"Sweet Grass County, Montana",3635
30099,"Teton County, Montana",5980
30101,"Toole County, Montana",4219
30103,"Treasure County, Montana",668
30105,"Valley County, Montana",7363
30107,"Wheatland County, Montana",2111
30109,"Wibaux County, Montana",1094
30111,"Yellowstone County, Montana",155174
